epoch,train_loss,val_loss,val_cer_micro,val_wer
0,60.07308,4.457389,0.758097,0.986885
1,4.374209,3.902884,0.67915,0.962295
2,4.03618,3.694488,0.608974,0.932787
3,3.853608,3.591907,0.588394,0.914754
4,3.763547,3.471438,0.555331,0.901639
5,3.667018,3.398942,0.522942,0.893443
6,3.572851,3.341608,0.506073,0.872131
7,3.521294,3.325737,0.501012,0.870492
8,3.436108,3.259314,0.481444,0.880328
9,3.392608,3.158612,0.452092,0.855738
10,3.306725,3.141191,0.438259,0.844262
11,3.238904,3.01685,0.414642,0.831148
12,3.1793,2.999443,0.401147,0.814754
13,3.099325,2.882864,0.402497,0.818033
14,3.021753,2.819282,0.394737,0.804918
15,2.99603,2.778437,0.384615,0.790164
16,2.921232,2.687837,0.371795,0.790164
17,2.862372,2.691076,0.365047,0.781967
18,2.82677,2.645509,0.34919,0.752459
19,2.792171,2.595949,0.352564,0.763934
20,2.730406,2.54187,0.343455,0.755738
21,2.675297,2.483803,0.341093,0.745902
22,2.628017,2.430484,0.332659,0.742623
23,2.565496,2.366186,0.331646,0.740984
24,2.51278,2.34477,0.326248,0.734426
25,2.455048,2.254049,0.319838,0.709836
26,2.411334,2.239051,0.315452,0.706557
27,2.364936,2.166902,0.311066,0.693443
28,2.318109,2.140442,0.309717,0.695082
29,2.255999,2.078825,0.29892,0.696721
30,2.205993,2.045814,0.302969,0.688525
31,2.190146,2.019684,0.301619,0.690164
32,2.14925,1.988609,0.298583,0.672131
33,2.122516,1.949457,0.278677,0.657377
34,2.087637,1.958015,0.281377,0.652459
35,2.073047,1.946977,0.292173,0.665574
36,2.051571,1.920708,0.283401,0.645902
37,2.027118,1.874751,0.275641,0.644262
38,2.017512,1.904395,0.275641,0.640984
39,1.984605,1.917371,0.273279,0.637705
