epoch,train_loss,val_loss,val_cer_micro,val_wer
0,48.858051,3.777063,0.736505,0.977049
1,3.879417,3.387497,0.616397,0.945902
2,3.645083,3.257365,0.565115,0.916393
3,3.516457,3.172256,0.537449,0.896721
4,3.441643,3.100921,0.50135,0.870492
5,3.386651,3.066603,0.475709,0.855738
6,3.323947,3.037869,0.457152,0.84918
7,3.279874,3.009845,0.45614,0.831148
8,3.230385,2.971421,0.432861,0.834426
9,3.187517,2.909441,0.401822,0.809836
10,3.141486,2.862248,0.384615,0.795082
11,3.03628,2.767,0.375169,0.772131
12,2.950243,2.687528,0.359312,0.759016
13,2.842313,2.569815,0.349528,0.75082
14,2.713778,2.477527,0.349528,0.762295
15,2.633391,2.385915,0.323887,0.722951
16,2.567897,2.381186,0.331646,0.727869
17,2.516939,2.330274,0.32085,0.718033
18,2.482181,2.27009,0.297908,0.677049
19,2.447582,2.24201,0.305331,0.696721
20,2.390796,2.213445,0.301282,0.677049
21,2.346967,2.154697,0.291835,0.665574
22,2.303406,2.14187,0.29251,0.67541
23,2.254801,2.072037,0.271255,0.640984
24,2.208162,2.047722,0.279352,0.644262
25,2.169321,1.992608,0.271255,0.632787
26,2.142466,1.999449,0.274291,0.636066
27,2.087655,1.914256,0.261471,0.616393
28,2.052007,1.89244,0.258772,0.606557
29,2.015708,1.891671,0.257085,0.601639
30,1.986552,1.876727,0.245614,0.57541
31,1.950226,1.850815,0.250675,0.593443
32,1.938286,1.813851,0.243927,0.577049
33,1.902315,1.770555,0.237517,0.557377
34,1.87293,1.782572,0.23583,0.559016
35,1.843556,1.749773,0.230432,0.563934
36,1.837165,1.730386,0.228745,0.557377
37,1.812811,1.729857,0.227733,0.54918
38,1.788674,1.709084,0.227395,0.540984
39,1.778902,1.74822,0.22807,0.555738
40,1.760334,1.700316,0.222335,0.537705
41,1.740942,1.679847,0.225709,0.544262
42,1.732801,1.677138,0.219298,0.522951
43,1.714113,1.664852,0.220985,0.544262
44,1.70454,1.674391,0.225371,0.537705
45,1.694884,1.658028,0.217274,0.508197
46,1.678882,1.675433,0.22166,0.531148
47,1.673334,1.672395,0.220648,0.531148
48,1.671208,1.619606,0.216937,0.522951
49,1.655449,1.643778,0.212888,0.534426
50,1.645425,1.640034,0.225709,0.532787
51,1.632073,1.628793,0.21525,0.513115
52,1.638267,1.621635,0.2139,0.511475
53,1.613506,1.615018,0.212551,0.519672
54,1.603719,1.642835,0.209177,0.495082
55,1.604073,1.606328,0.211538,0.506557
56,1.597469,1.638319,0.209852,0.511475
57,1.588268,1.601244,0.211538,0.513115
58,1.59219,1.602266,0.208502,0.518033
59,1.573545,1.612818,0.209514,0.508197
