epoch,train_loss,train_cer_micro,train_wer,val_loss,val_cer_micro,val_wer
0,52.713768,0.857275,0.9875,4.226487,0.835318,0.983039
1,4.155264,0.740845,0.970833,3.859823,0.750235,0.967491
2,3.924561,0.643885,0.9375,3.686192,0.659354,0.928622
3,3.797623,0.610816,0.916667,3.590078,0.60655,0.910954
4,3.692819,0.578337,0.866667,3.516376,0.578032,0.890459
5,3.641159,0.545872,0.895833,3.451553,0.54121,0.869965
6,3.576167,0.469613,0.808333,3.40388,0.522877,0.85583
7,3.542109,0.479109,0.8,3.385022,0.52037,0.855124
8,3.472021,0.453774,0.795833,3.337513,0.49718,0.835336
9,3.417601,0.489832,0.804167,3.278749,0.47963,0.824735
10,3.349163,0.440114,0.7375,3.220802,0.479944,0.818375
11,3.248719,0.418265,0.716667,3.134591,0.465998,0.809894
12,3.12479,0.402971,0.716667,3.009104,0.448919,0.800707
13,3.007609,0.367123,0.729167,2.88608,0.419461,0.783039
14,2.918064,0.397448,0.729167,2.831064,0.408493,0.763958
15,2.841362,0.334275,0.695833,2.787977,0.401442,0.753357
16,2.800785,0.366184,0.729167,2.719484,0.387966,0.74841
17,2.760968,0.378759,0.725,2.697864,0.386086,0.735689
18,2.716353,0.350137,0.675,2.653646,0.37214,0.736396
19,2.672714,0.326852,0.633333,2.595188,0.369007,0.730035
20,2.61485,0.329336,0.629167,2.574811,0.365559,0.715901
21,2.555198,0.297249,0.616667,2.536666,0.354591,0.710247
22,2.503243,0.301832,0.579167,2.474829,0.343936,0.69682
23,2.45559,0.278351,0.5875,2.428335,0.335788,0.685512
24,2.418657,0.309501,0.620833,2.401363,0.336572,0.69258
25,2.377413,0.290207,0.545833,2.363821,0.32764,0.681979
26,2.332836,0.280433,0.570833,2.339828,0.322156,0.674912
27,2.300832,0.278793,0.5625,2.321145,0.326543,0.681272
28,2.273912,0.268966,0.575,2.280312,0.326387,0.684099
29,2.238656,0.246255,0.529167,2.276047,0.310718,0.663604
30,2.20181,0.255687,0.529167,2.232965,0.311814,0.667845
31,2.186804,0.209634,0.491667,2.247095,0.310561,0.662191
32,2.154201,0.245217,0.516667,2.223217,0.308994,0.669965
33,2.133378,0.225508,0.466667,2.162516,0.297556,0.650177
34,2.110056,0.220192,0.495833,2.184685,0.299593,0.650177
35,2.102857,0.238668,0.479167,2.175552,0.298026,0.646643
36,2.080645,0.236228,0.491667,2.172898,0.299906,0.646643
37,2.055796,0.1946,0.425,2.12998,0.293325,0.643816
38,2.049348,0.200547,0.404167,2.137742,0.295519,0.642403
39,2.033049,0.204874,0.454167,2.162655,0.292071,0.635336
40,2.019024,0.20259,0.45,2.138791,0.291131,0.633216
41,1.997299,0.206457,0.4625,2.109751,0.286274,0.619788
42,1.991456,0.206612,0.4625,2.133732,0.282827,0.617668
43,1.9808,0.171689,0.395833,2.082375,0.279066,0.612014
44,1.963482,0.184659,0.383333,2.115239,0.273112,0.605654
45,1.953782,0.175522,0.404167,2.093192,0.278909,0.616961
46,1.947255,0.202176,0.433333,2.083834,0.28314,0.619788
47,1.929044,0.206679,0.404167,2.096627,0.276246,0.621201
48,1.923865,0.165258,0.345833,2.089794,0.274835,0.628269
49,1.921733,0.187285,0.425,2.083451,0.274522,0.624028
