epoch,train_loss,train_cer_micro,train_wer,val_loss,val_cer_micro,val_wer
0,42.139097,0.761364,0.983333,4.016015,0.787841,0.976678
1,4.031855,0.664522,0.929167,3.723368,0.677844,0.942049
2,3.821491,0.615534,0.858333,3.592296,0.598558,0.908127
3,3.714867,0.530088,0.85,3.510688,0.571608,0.895406
4,3.613485,0.500917,0.8375,3.424243,0.525071,0.867845
5,3.548741,0.472985,0.841667,3.358191,0.478533,0.838163
6,3.462993,0.498647,0.85,3.303759,0.473206,0.826855
7,3.387873,0.401251,0.775,3.250602,0.450329,0.814134
8,3.31133,0.390671,0.729167,3.16826,0.427922,0.79576
9,3.19862,0.417857,0.791667,3.052331,0.418051,0.779505
10,3.047417,0.381326,0.7625,2.906982,0.403949,0.756184
11,2.932916,0.36055,0.708333,2.831159,0.390943,0.738516
12,2.853307,0.353991,0.691667,2.765172,0.376214,0.735689
13,2.78631,0.355079,0.675,2.715582,0.363052,0.722261
14,2.732841,0.328625,0.645833,2.6813,0.362896,0.710247
15,2.681486,0.31015,0.6125,2.621103,0.340332,0.695406
16,2.611717,0.266921,0.5875,2.546273,0.347383,0.70106
17,2.568403,0.295413,0.583333,2.537047,0.34472,0.70318
18,2.495958,0.291892,0.5875,2.439422,0.324506,0.675618
19,2.449151,0.259669,0.579167,2.431997,0.325603,0.664311
20,2.401122,0.283472,0.6,2.401887,0.321373,0.668551
21,2.349874,0.249104,0.558333,2.358506,0.315575,0.650177
22,2.302685,0.272374,0.570833,2.321239,0.308524,0.64947
23,2.26272,0.291174,0.583333,2.294211,0.299123,0.631095
24,2.230381,0.234557,0.529167,2.269246,0.302726,0.638869
25,2.197227,0.225865,0.491667,2.216158,0.290505,0.628975
26,2.170251,0.230635,0.5,2.192878,0.292228,0.624028
27,2.134763,0.214419,0.470833,2.173556,0.287214,0.625442
28,2.123694,0.212628,0.4625,2.13892,0.286587,0.620495
29,2.091287,0.209991,0.466667,2.146383,0.284237,0.623322
30,2.066529,0.231141,0.45,2.160792,0.28502,0.621908
31,2.045446,0.196794,0.429167,2.12745,0.276402,0.602827
32,2.018504,0.181266,0.404167,2.100452,0.273112,0.599293
33,2.000438,0.182836,0.404167,2.08132,0.272642,0.598587
34,1.986834,0.184561,0.4125,2.080602,0.274679,0.604947
35,1.971625,0.192344,0.379167,2.092874,0.26371,0.592226
36,1.945835,0.200552,0.383333,2.043463,0.268881,0.590106
37,1.9306,0.172512,0.379167,2.084621,0.260107,0.585159
38,1.925275,0.150613,0.391667,2.065178,0.261673,0.587986
39,1.912047,0.173221,0.4,2.061903,0.260733,0.571731
40,1.896651,0.154047,0.358333,2.04607,0.255249,0.581625
41,1.888091,0.164706,0.4,2.035221,0.259323,0.590813
42,1.876551,0.154717,0.354167,2.07651,0.260577,0.583039
43,1.869418,0.152115,0.329167,2.015693,0.258696,0.573852
44,1.846752,0.164179,0.354167,2.047313,0.255876,0.575265
45,1.835498,0.140541,0.341667,2.088257,0.257913,0.576678
