epoch,train_loss,train_cer_micro,train_wer,val_loss,val_cer_micro,val_wer
0,31.416324,0.795781,0.983333,3.635232,0.7822,0.988693
1,3.415195,0.628385,0.920833,3.167672,0.646036,0.949823
2,3.087084,0.573801,0.904167,2.911268,0.580382,0.9053
3,2.88601,0.517602,0.829167,2.763945,0.520683,0.858657
4,2.753548,0.476233,0.8125,2.653937,0.501724,0.838163
5,2.634416,0.434034,0.75,2.581695,0.4555,0.821201
6,2.559027,0.409742,0.779167,2.445758,0.435443,0.805654
7,2.478155,0.390824,0.7625,2.379653,0.415074,0.784452
8,2.399875,0.355388,0.695833,2.253728,0.382482,0.756184
9,2.319772,0.35649,0.708333,2.214046,0.37261,0.749117
10,2.236488,0.300901,0.625,2.096177,0.349734,0.725088
11,2.172868,0.290076,0.641667,2.041511,0.335788,0.697527
12,2.103198,0.274955,0.595833,1.98974,0.329521,0.695406
13,2.046895,0.299911,0.629167,1.916868,0.314165,0.674912
14,1.972273,0.269884,0.583333,1.842947,0.298339,0.667845
15,1.902102,0.237417,0.545833,1.797045,0.290034,0.639576
16,1.866009,0.232432,0.495833,1.728582,0.285647,0.630389
17,1.808517,0.270795,0.529167,1.712037,0.278439,0.621201
18,1.756997,0.225225,0.516667,1.671162,0.272328,0.614134
19,1.715706,0.221596,0.4875,1.619109,0.263084,0.601413
20,1.673809,0.163134,0.420833,1.589952,0.254622,0.581625
21,1.631038,0.218103,0.504167,1.554502,0.248041,0.572438
22,1.590393,0.204386,0.525,1.52024,0.247101,0.573145
23,1.544369,0.163074,0.383333,1.46836,0.236916,0.54841
24,1.515448,0.151601,0.3625,1.449779,0.229082,0.534276
25,1.467929,0.154494,0.3875,1.431185,0.229238,0.533569
26,1.43723,0.197446,0.4375,1.435192,0.229238,0.542756
27,1.406966,0.157895,0.366667,1.378824,0.219837,0.526502
28,1.390504,0.157645,0.345833,1.351055,0.216076,0.514488
29,1.354194,0.12287,0.366667,1.344052,0.214196,0.513074
30,1.30878,0.133895,0.35,1.318092,0.210906,0.49894
31,1.28718,0.152249,0.3625,1.295732,0.205578,0.49894
32,1.261157,0.131352,0.3125,1.287211,0.202758,0.477032
33,1.237831,0.143261,0.333333,1.251498,0.200877,0.478445
34,1.218461,0.112454,0.279167,1.248337,0.19649,0.472792
35,1.181744,0.123064,0.295833,1.221606,0.194923,0.467845
36,1.157482,0.150893,0.333333,1.225399,0.195237,0.471378
37,1.159781,0.108206,0.275,1.234776,0.19602,0.472792
38,1.131891,0.121662,0.270833,1.192623,0.185992,0.440989
39,1.108,0.098708,0.266667,1.188422,0.186932,0.460071
40,1.091412,0.128795,0.279167,1.203519,0.185052,0.445936
41,1.069497,0.099462,0.2375,1.178515,0.182701,0.440283
42,1.053714,0.084813,0.220833,1.155474,0.177687,0.425442
43,1.029898,0.102023,0.2625,1.13608,0.172987,0.433216
44,1.025244,0.072848,0.229167,1.15409,0.177374,0.437456
45,1.005434,0.091996,0.258333,1.136832,0.174083,0.426855
46,1.011424,0.102683,0.245833,1.160788,0.177374,0.433216
47,0.994061,0.081056,0.208333,1.132109,0.17283,0.433216
48,0.972647,0.073491,0.225,1.091244,0.162645,0.410601
49,0.959402,0.067642,0.2,1.110737,0.164055,0.411307
50,0.953933,0.059798,0.158333,1.078742,0.162018,0.39788
51,0.939289,0.066545,0.1625,1.076634,0.159041,0.407774
52,0.915481,0.056147,0.1625,1.07099,0.158414,0.401413
53,0.907693,0.067132,0.1875,1.063333,0.158101,0.404947
54,0.900181,0.062326,0.1625,1.052921,0.160608,0.396466
55,0.903517,0.061728,0.141667,1.070536,0.155594,0.396466
56,0.888314,0.061033,0.15,1.058223,0.159354,0.401413
57,0.87721,0.05,0.1625,1.051799,0.156221,0.392226
58,0.869257,0.05603,0.133333,1.053477,0.157944,0.39576
59,0.855849,0.051527,0.158333,1.027863,0.15246,0.383039
