epoch,train_loss,train_cer_micro,train_wer,val_loss,val_cer_micro,val_wer
0,32.968286,0.774688,0.9875,3.598628,0.774522,0.984452
1,3.319433,0.619981,0.9,3.097833,0.644626,0.935689
2,2.996891,0.537823,0.870833,2.873804,0.568474,0.8947
3,2.818308,0.493815,0.829167,2.71755,0.506424,0.845936
4,2.709381,0.443946,0.804167,2.680034,0.499687,0.852297
5,2.577818,0.408222,0.7625,2.490708,0.458634,0.825442
6,2.489613,0.404011,0.741667,2.38018,0.426355,0.787279
7,2.41292,0.350042,0.720833,2.286179,0.402695,0.762544
8,2.31981,0.369565,0.733333,2.184541,0.388123,0.753357
9,2.259118,0.359232,0.716667,2.163278,0.381072,0.751943
10,2.184281,0.338739,0.641667,2.103869,0.358038,0.723675
11,2.15373,0.304389,0.658333,2.060521,0.346443,0.710247
12,2.083634,0.284029,0.629167,1.960039,0.325447,0.693286
13,2.019326,0.310559,0.645833,1.922829,0.326073,0.6947
14,1.967464,0.25916,0.566667,1.823009,0.294579,0.645936
15,1.903044,0.245964,0.5625,1.780038,0.286117,0.633922
16,1.852913,0.234234,0.508333,1.742354,0.28126,0.627562
17,1.820057,0.26525,0.5375,1.709173,0.272328,0.60636
18,1.781638,0.24955,0.545833,1.694325,0.265434,0.599293
19,1.718228,0.260094,0.541667,1.617913,0.256973,0.580212
20,1.682553,0.170507,0.4625,1.584115,0.253996,0.580212
21,1.655489,0.243103,0.5625,1.559353,0.242557,0.561131
22,1.61443,0.214035,0.533333,1.534431,0.241147,0.561837
23,1.59955,0.162137,0.425,1.474483,0.234409,0.55477
24,1.530921,0.166667,0.395833,1.442356,0.231432,0.539929
25,1.505535,0.168539,0.4375,1.418454,0.228142,0.530742
26,1.470992,0.193517,0.45,1.425928,0.230492,0.536396
27,1.490996,0.180581,0.441667,1.368961,0.218113,0.520848
28,1.4335,0.164292,0.375,1.34479,0.209025,0.49682
29,1.407223,0.140807,0.408333,1.331648,0.210122,0.498233
30,1.372529,0.14794,0.379167,1.302662,0.201504,0.493993
31,1.351488,0.172145,0.4,1.296605,0.200564,0.491166
32,1.348683,0.170662,0.383333,1.286499,0.205892,0.500353
33,1.303502,0.153629,0.354167,1.238722,0.189439,0.461484
34,1.268433,0.136617,0.35,1.203289,0.185522,0.457244
35,1.254743,0.149742,0.370833,1.207689,0.186305,0.467845
36,1.230468,0.180357,0.375,1.184442,0.182858,0.455124
37,1.217362,0.124436,0.308333,1.181107,0.184112,0.459364
38,1.200713,0.145401,0.316667,1.155974,0.177374,0.433922
39,1.177081,0.116236,0.3,1.146136,0.175494,0.440283
40,1.162395,0.135235,0.3125,1.16084,0.179568,0.44735
41,1.151552,0.12724,0.3125,1.152121,0.172516,0.425442
42,1.14024,0.122288,0.283333,1.104747,0.166562,0.426855
43,1.108027,0.126649,0.325,1.095935,0.165465,0.412721
44,1.096219,0.107852,0.279167,1.105973,0.161235,0.4
45,1.084511,0.120515,0.308333,1.07596,0.162958,0.40424
46,1.073056,0.12766,0.325,1.065783,0.158728,0.395053
47,1.048632,0.103825,0.275,1.066456,0.157631,0.391519
48,1.04531,0.097988,0.3,1.047058,0.15152,0.380919
49,1.049036,0.091408,0.2625,1.035932,0.156847,0.392226
50,1.028852,0.088316,0.216667,1.036099,0.148543,0.378799
51,1.026253,0.093892,0.241667,1.03293,0.151363,0.390106
52,1.002002,0.078412,0.225,1.00791,0.150266,0.378799
53,0.981198,0.086312,0.241667,1.025496,0.156064,0.398587
54,0.985371,0.072558,0.204167,1.017015,0.152303,0.384452
55,0.970565,0.083571,0.2125,0.999382,0.15246,0.381625
