epoch,step,loss,lr
0,0,396.840057,0.0005
0,1,328.370117,0.0005
0,2,413.328156,0.0005
0,3,344.188934,0.0005
0,4,220.914398,0.0005
1,0,307.819,0.0005
1,1,351.866333,0.0005
1,2,283.221863,0.0005
1,3,367.366913,0.0005
1,4,229.929428,0.0005
2,0,279.509583,0.0005
2,1,295.451538,0.0005
2,2,400.115631,0.0005
2,3,272.607574,0.0005
2,4,353.389343,0.0005
3,0,160.622635,0.0005
3,1,240.055862,0.0005
3,2,246.496033,0.0005
3,3,423.905884,0.0005
3,4,445.586853,0.0005
4,0,476.97345,0.0005
4,1,158.666641,0.0005
4,2,196.658493,0.0005
4,3,257.612579,0.0005
4,4,133.304031,0.0005
