epoch,train_loss,train_cer_micro,train_wer,val_loss,val_cer_micro,val_wer
0,7.078829,0.596745,0.908333,3.130258,0.60984,0.912367
1,2.509731,0.376623,0.691667,2.069636,0.379662,0.739929
2,1.910591,0.309392,0.683333,1.697179,0.323096,0.674912
3,1.613634,0.279359,0.625,1.466118,0.28549,0.635336
4,1.42048,0.248227,0.633333,1.319647,0.258383,0.598587
5,1.268714,0.216319,0.491667,1.217325,0.23817,0.566078
6,1.160106,0.237477,0.558333,1.139381,0.223598,0.542756
7,1.067621,0.199647,0.483333,1.081339,0.214196,0.528622
8,0.996203,0.181077,0.475,1.030643,0.202758,0.510954
9,0.931566,0.148423,0.325,0.991419,0.197587,0.498233
10,0.870072,0.136842,0.4,0.952261,0.188499,0.484099
11,0.826906,0.152047,0.366667,0.927725,0.182075,0.472792
12,0.782046,0.139925,0.366667,0.902665,0.176277,0.467845
13,0.749235,0.091476,0.266667,0.880563,0.17236,0.455124
14,0.712174,0.128107,0.333333,0.861282,0.164839,0.443816
15,0.678379,0.084942,0.25,0.841473,0.160295,0.431802
16,0.649461,0.086882,0.275,0.825408,0.154654,0.423322
17,0.62552,0.101786,0.283333,0.82919,0.153243,0.421201
18,0.601939,0.113422,0.341667,0.815598,0.151833,0.421908
19,0.57728,0.133962,0.308333,0.795073,0.147603,0.407774
20,0.554748,0.086655,0.266667,0.792603,0.147916,0.414134
21,0.535336,0.075786,0.191667,0.785738,0.143685,0.4
22,0.516826,0.056881,0.191667,0.773267,0.142902,0.397173
23,0.497559,0.079482,0.233333,0.774238,0.140552,0.386572
24,0.473801,0.085185,0.208333,0.765992,0.137888,0.383039
25,0.459456,0.04461,0.183333,0.757262,0.135381,0.378092
26,0.441907,0.09369,0.25,0.770823,0.135381,0.373145
27,0.429156,0.031835,0.133333,0.765385,0.131777,0.360424
28,0.414117,0.04902,0.175,0.757568,0.130523,0.365371
29,0.399541,0.053082,0.183333,0.758779,0.129113,0.35477
30,0.392372,0.061977,0.216667,0.75462,0.132404,0.365371
31,0.37834,0.06,0.175,0.745468,0.129113,0.360424
32,0.36376,0.046816,0.166667,0.763844,0.130053,0.355477
33,0.353024,0.050435,0.183333,0.744918,0.126449,0.342756
34,0.340059,0.0373,0.15,0.771595,0.126136,0.349117
35,0.33149,0.039316,0.125,0.753159,0.126606,0.347703
36,0.323146,0.038023,0.125,0.753414,0.124569,0.343463
37,0.313072,0.045872,0.183333,0.75423,0.124256,0.341343
38,0.304484,0.026266,0.1,0.772748,0.123159,0.340636
39,0.294371,0.027586,0.091667,0.775784,0.122846,0.335689
40,0.287007,0.041145,0.158333,0.773557,0.120025,0.328622
41,0.277267,0.029126,0.083333,0.765405,0.117831,0.320848
42,0.266822,0.011215,0.041667,0.77191,0.118772,0.327208
43,0.260268,0.018443,0.05,0.779334,0.118301,0.325088
44,0.252589,0.021696,0.091667,0.771386,0.117988,0.322968
45,0.244041,0.025729,0.083333,0.787763,0.112974,0.310247
46,0.240966,0.024762,0.066667,0.788661,0.114541,0.312367
47,0.23185,0.007067,0.016667,0.799591,0.114384,0.309541
48,0.226929,0.005848,0.016667,0.79928,0.114228,0.3053
49,0.218739,0.011538,0.033333,0.80677,0.114698,0.311661
50,0.213863,0.026168,0.075,0.804948,0.112347,0.30742
51,0.208443,0.003781,0.016667,0.813424,0.113444,0.306007
52,0.202528,0.007246,0.033333,0.808748,0.110467,0.30106
53,0.194746,0.008696,0.033333,0.829528,0.111094,0.306714
54,0.191706,0.005736,0.016667,0.819936,0.110154,0.295406
55,0.186897,0.011215,0.033333,0.838215,0.109683,0.297527
56,0.181889,0.005736,0.025,0.82151,0.10937,0.293993
57,0.17607,0.009042,0.025,0.826227,0.109527,0.29682
58,0.171041,0.001894,0.008333,0.844693,0.10749,0.288339
59,0.16607,0.005415,0.025,0.845089,0.108273,0.295406
