epoch,step,loss,lr
0,0,242.575745,5e-05
0,1,220.917831,5e-05
0,2,166.914902,5e-05
0,3,185.629959,5e-05
0,4,518.403748,5e-05
0,5,293.06015,5e-05
0,6,205.028778,5e-05
0,7,315.564056,5e-05
0,8,123.565887,5e-05
0,9,374.408386,5e-05
1,0,247.633896,5e-05
1,1,357.747894,5e-05
1,2,305.336853,5e-05
1,3,218.69455,5e-05
1,4,206.689835,5e-05
1,5,224.552032,5e-05
1,6,189.824707,5e-05
1,7,227.91803,5e-05
1,8,117.371307,5e-05
1,9,517.974609,5e-05
2,0,166.955048,5e-05
2,1,177.721283,5e-05
2,2,203.782578,5e-05
2,3,190.153046,5e-05
2,4,168.091461,5e-05
2,5,271.811157,5e-05
2,6,237.674973,5e-05
2,7,204.078217,5e-05
2,8,207.348526,5e-05
2,9,155.592438,5e-05
3,0,174.277435,5e-05
3,1,193.522385,5e-05
3,2,260.029999,5e-05
3,3,159.061447,5e-05
3,4,125.935257,5e-05
3,5,153.607361,5e-05
3,6,198.507751,5e-05
3,7,85.420609,5e-05
3,8,132.370468,5e-05
3,9,113.869507,5e-05
4,0,124.665192,5e-05
4,1,284.745605,5e-05
4,2,248.478607,5e-05
4,3,51.267834,5e-05
4,4,156.131058,5e-05
4,5,172.894882,5e-05
4,6,270.656433,5e-05
4,7,45.176102,5e-05
4,8,74.67482,5e-05
4,9,110.752213,5e-05
